TITLE,REGION,DISTANCE,DIST_TYPE,GAIN,HIGHEST,RATING,RATING_COUNT,LATITUDE,LONGITUDE,REPORT_DATE,REPORT_COUNT,URL
Poe Mountain via Little Wenatchee Campground,Central Cascades,6.0,roundtrip,3000.0,6015.0,0.0,0,47.9177456,-121.08670860000001,2019-08-20,34,https://www.wta.org/go-hiking/hikes/poe-mountain-via-little-wenatchee-campground
Happy Lake Ridge,Olympic Peninsula,18.0,roundtrip,4400.0,5280.0,2.75,4,47.9775999854,-123.69299970600002,2019-11-10,36,https://www.wta.org/go-hiking/hikes/happy-lake-ridge
Norse Peak,Mount Rainier Area,10.0,roundtrip,2900.0,6856.0,3.45,11,46.9643666667,-121.48289999999997,2019-10-08,193,https://www.wta.org/go-hiking/hikes/norse-peak
Riverside State Park - Trail 10,Eastern Washington,,,,,0.0,0,,,2019-10-20,2,https://www.wta.org/go-hiking/hikes/riverside-state-park-trail-10
Granite Mountain (Mount Baker),North Cascades,,,,,0.0,0,47.397848969426875,-121.48656964302063,2018-09-27,15,https://www.wta.org/go-hiking/hikes/granite-mountain-mount-baker
Craft Island,Puget Sound and Islands,2.0,roundtrip,50.0,80.0,0.0,0,,,2019-08-06,7,https://www.wta.org/go-hiking/hikes/craft-island
Rainy Lake,North Cascades,2.0,roundtrip,70.0,4800.0,3.0,6,48.51496570000001,-120.73549660000003,2019-10-02,70,https://www.wta.org/go-hiking/hikes/rainy-lake
Grace Lakes,Central Cascades,4.0,roundtrip,500.0,,4.33,6,47.744344893507076,-121.0964584350586,2019-08-24,52,https://www.wta.org/go-hiking/hikes/grace-lakes
Point No Point Park,Olympic Peninsula,2.0,roundtrip,100.0,,3.5,6,47.9115437036,-122.52913515099999,2019-06-01,23,https://www.wta.org/go-hiking/hikes/point-no-point
Saint Edward State Park,Puget Sound and Islands,3.0,roundtrip,400.0,400.0,3.93,27,47.7328581471,-122.258262634,2019-11-11,122,https://www.wta.org/go-hiking/hikes/north-trail-saint-edward-state-park
Teneriffe Falls,Snoqualmie Region,5.6,roundtrip,1585.0,2370.0,3.87,52,47.486866,-121.70968199999999,2019-11-13,892,https://www.wta.org/go-hiking/hikes/teneriffe-falls
Ragged Ridge,Eastern Washington,15.1,roundtrip,3000.0,5300.0,0.0,0,47.904597172405765,-117.10294982881953,2018-08-04,4,https://www.wta.org/go-hiking/hikes/ragged-ridge
Mackenzie Reserve,Eastern Washington,,,,,0.0,0,47.64958077581047,-117.06703503253277,2015-05-09,1,https://www.wta.org/go-hiking/hikes/mackenzie-reserve
Middle Fork Snoqualmie River,Snoqualmie Region,12.0,roundtrip,200.0,1100.0,3.73,30,47.54795,-121.53840000000002,2019-11-14,485,https://www.wta.org/go-hiking/hikes/middle-fork-snoqualmie-upstream
Mount Spokane State Park - Trail 110,Eastern Washington,7.5,roundtrip,1750.0,5000.0,4.0,4,47.904087761837474,-117.12460041046143,2019-08-27,17,https://www.wta.org/go-hiking/hikes/mount-spokane-trail-110
