,TITLE,REGION,DISTANCE,DIST_TYPE,GAIN,HIGHEST,RATING,RATING_COUNT,REPORT_DATE,REPORT_COUNT,LINK
0,Gooseberry Flat,Snoqualmie Region,,,,,3.0,3,,0,https://www.wta.org/go-hiking/hikes/gooseberry-flat
1,Gold Creek,Olympic Peninsula,,,,,2.5,4,2019-03-11,21,https://www.wta.org/go-hiking/hikes/gold-creek
2,Grand Pass,Olympic Peninsula,,,,,3.71,7,2019-06-29,45,https://www.wta.org/go-hiking/hikes/grand-pass
3,Hamilton Peak,South Cascades,,,,,3.25,4,2009-08-23,2,https://www.wta.org/go-hiking/hikes/hamilton-peak
4,Greenwood Lake,South Cascades,,,,,2.8,5,2019-05-17,7,https://www.wta.org/go-hiking/hikes/greenwood-lake
5,Goose Prairie,South Cascades,,,,,4.0,5,2016-08-26,9,https://www.wta.org/go-hiking/hikes/goose-prairie
6,Grand Valley,Olympic Peninsula,9.8,roundtrip,2400.0,6450.0,4.26,19,2019-06-29,67,https://www.wta.org/go-hiking/hikes/grand-valley
7,Gold Ridge,Central Cascades,,,,,2.0,4,,0,https://www.wta.org/go-hiking/hikes/gold-ridge
8,Greek Creek Basin,South Cascades,,,,,3.5,4,2002-09-10,1,https://www.wta.org/go-hiking/hikes/greek-creek-basin
9,Goat Ridge,South Cascades,,,,,3.12,8,2018-10-12,56,https://www.wta.org/go-hiking/hikes/goat-ridge
10,Gillette Ridge,Eastern Washington,,,,,2.0,4,2011-07-01,2,https://www.wta.org/go-hiking/hikes/gillette-ridge
11,Glacier Creek,Central Cascades,,,,,3.25,4,2012-07-05,3,https://www.wta.org/go-hiking/hikes/glacier-creek
12,Fortune Creek-Van Epps,Snoqualmie Region,,,,,1.5,4,2018-09-02,11,https://www.wta.org/go-hiking/hikes/fortune-creek-van-epps
13,Gatton Creek,Olympic Peninsula,,,,,2.0,5,2019-04-28,3,https://www.wta.org/go-hiking/hikes/gatton-creek
14,Fourth Creek,Snoqualmie Region,,,,,3.25,4,2018-10-04,17,https://www.wta.org/go-hiking/hikes/fourth-creek
15,French Creek,Southwest Washington,7.0,roundtrip,700.0,3800.0,3.0,4,2009-09-03,2,https://www.wta.org/go-hiking/hikes/french-creek
16,French Ridge,Central Cascades,,,,,2.6,5,2016-08-15,7,https://www.wta.org/go-hiking/hikes/french-ridge
17,Glacier Peak,Central Cascades,,,,,3.0,5,2019-07-02,36,https://www.wta.org/go-hiking/hikes/glacier-peak
18,French Butte,South Cascades,,,,,2.0,4,,0,https://www.wta.org/go-hiking/hikes/french-butte
19,Freezout Lake,North Cascades,,,,,3.67,3,2013-08-27,1,https://www.wta.org/go-hiking/hikes/freezout-lake
20,Glacier View Loop,North Cascades,,,,,3.0,4,2019-05-11,2,https://www.wta.org/go-hiking/hikes/glacier-view-loop
21,Glacier Vista Snowshoe,Mount Rainier Area,3.0,roundtrip,700.0,6300.0,3.0,6,2018-01-13,39,https://www.wta.org/go-hiking/hikes/glacier-vista-snowshoe
22,Gifford Peak,South Cascades,11.0,roundtrip,700.0,5200.0,2.5,6,2014-06-27,1,https://www.wta.org/go-hiking/hikes/gifford-peak
23,Gibbs Lake,Olympic Peninsula,2.5,roundtrip,160.0,480.0,3.75,4,2019-01-13,16,https://www.wta.org/go-hiking/hikes/gibbs-lake
24,Frog Mountain,Mount Rainier Area,,,,,2.8,5,2018-07-12,4,https://www.wta.org/go-hiking/hikes/frog-mountain
25,Frosty Creek,North Cascades,,,,,2.0,3,2017-07-07,2,https://www.wta.org/go-hiking/hikes/frosty-creek
26,Found Lake,North Cascades,,,,,2.5,4,2017-08-19,4,https://www.wta.org/go-hiking/hikes/found-lake
27,Gloyd Seeps - South,Central Washington,3.5,roundtrip,,1200.0,2.67,3,2013-07-29,1,https://www.wta.org/go-hiking/hikes/gloyd-seeps-south
28,Gamma Ridge,North Cascades,,,,,2.5,4,2018-08-02,4,https://www.wta.org/go-hiking/hikes/gamma-ridge
29,Gloyd Seeps - North,Central Washington,5.0,roundtrip,,,3.25,4,2015-01-03,3,https://www.wta.org/go-hiking/hikes/gloyd-seeps-north
30,Chadwick Hill,Puget Sound and Islands,,,,,5.0,1,2017-06-10,6,https://www.wta.org/go-hiking/hikes/chadwick-hill
31,Central Peak,Issaquah Alps,1.8,roundtrip,,2025.0,2.86,7,2019-06-18,129,https://www.wta.org/go-hiking/hikes/central-peak
32,Captain William Clark Regional Park at Cottonwood Beach - Dike Trail,Southwest Washington,6.0,roundtrip,,,1.0,1,2018-08-18,2,https://www.wta.org/go-hiking/hikes/captain-william-clark-regional-park-at-cottonwood-beach-dike-trail
33,Cascade Trail,Puget Sound and Islands,22.5,one-way,60.0,230.0,2.5,2,2019-02-09,12,https://www.wta.org/go-hiking/hikes/cascade-trail
34,Cap Sante Park,Puget Sound and Islands,1.0,roundtrip,200.0,300.0,0.0,0,2018-06-09,4,https://www.wta.org/go-hiking/hikes/cap-sante-park
